,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
5,jppfs_cor:ElectricUtilityPlantAndEquipmentAssetsELE,電気事業固定資産、電気事業,Electric utility plant and equipment,Electric utility plant and equipment assets-ELE
6,jppfs_cor:HydroelectricPowerProductionFacilitiesNCAElectricELE,水力発電設備、電気事業固定資産、電気事業,Hydroelectric power production facilities,Hydroelectric power production facilities-NCA-electric-ELE
7,jppfs_cor:ThermalPowerProductionFacilitiesNCAElectricELE,汽力発電設備、電気事業固定資産、電気事業,Thermal power production facilities,Thermal power production facilities-NCA-electric-ELE
8,jppfs_cor:NuclearPowerProductionFacilitiesNCAElectricELE,原子力発電設備、電気事業固定資産、電気事業,Nuclear power production facilities,Nuclear power production facilities-NCA-electric-ELE
9,jppfs_cor:InternalCombustionEnginePowerProductionFacilitiesNCAElectricELE,内燃力発電設備、電気事業固定資産、電気事業,Internal combustion engine power production facilities,Internal combustion engine power production facilities-NCA-electric-ELE
10,jppfs_cor:RenewablePowerProductionFacilitiesNCAElectricELE,新エネルギー等発電設備、電気事業固定資産、電気事業,Renewable power production facilities,Renewable power production facilities-NCA-electric-ELE
11,jppfs_cor:TransmissionFacilitiesNCAElectricELE,送電設備、電気事業固定資産、電気事業,Transmission facilities,Transmission facilities-NCA-electric-ELE
12,jppfs_cor:TransformationFacilitiesNCAElectricELE,変電設備、電気事業固定資産、電気事業,Transformation facilities,Transformation facilities-NCA-electric-ELE
13,jppfs_cor:DistributionFacilitiesNCAElectricELE,配電設備、電気事業固定資産、電気事業,Distribution facilities,Distribution facilities-NCA-electric-ELE
