,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
5,jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
6,jppfs_cor:ProductionFacilitiesPPEGAS,製造設備、有形固定資産、ガス事業,Production facilities,Production facilities-PPE-GAS
7,jppfs_cor:NaturalGasGatheringFacilitiesPPEGAS,天然ガス採取設備、有形固定資産、ガス事業,Natural gas gathering facilities,Natural gas gathering facilities-PPE-GAS
8,jppfs_cor:DistributionFacilitiesPPEGAS,供給設備、有形固定資産、ガス事業,Distribution facilities,Distribution facilities-PPE-GAS
9,jppfs_cor:ServiceAndMaintenanceFacilitiesPPEGAS,業務設備、有形固定資産、ガス事業,Service and maintenance facilities,Service and maintenance facilities-PPE-GAS
10,jppfs_cor:FacilitiesForIncidentalBusinessesPPEGAS,附帯事業設備、有形固定資産、ガス事業,Facilities for incidental businesses,Facilities for incidental businesses-PPE-GAS
11,jppfs_cor:InactiveFacilitiesPPEGAS,休止設備、有形固定資産、ガス事業,Inactive facilities,Inactive facilities-PPE-GAS
12,jppfs_cor:OtherFacilitiesPPEGAS,その他の設備、有形固定資産、ガス事業,Other facilities,Other facilities-PPE-GAS
13,jppfs_cor:ConstructionInProgress,建設仮勘定,Construction in progress,Construction in progress
14,jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
15,jppfs_cor:IntangibleAssetsAbstract,無形固定資産 [タイトル項目],Intangible assets,Intangible assets [abstract]
16,jppfs_cor:PatentRight,特許権,Patent right,Patent right
